defn,sentence,list1,list2,gptlist,f1,dataset,id
"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location",The method of defining the linked list specifies the use of a depth-first search or a breadth-first search .,"depth-first search, breadth-first search","breadth-first search, linked list, depth-first search",2,0.8,ai,0
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","Poet and lead singer of King Missile , John S. Hall has also long been a vocal opponent , taking issue with such factors as its inherently competitive nature In his 2005 interview in Words In Your Face : A Guided Tour Through Twenty Years of the New York City Poetry Slam , he recalls seeing his first slam , at the Nuyorican Poets Café : ... I hated it .","words in your face : a guided tour through twenty years of the new york city poetry slam, nuyorican poets café, king missile, john s. hall","nuyorican poets café, john s. hall, king missile, new york city poetry slam, words in your face: a guided tour through twenty years of the new york city poetry slam",2,0.6666666666666666,lit,5
"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","NMF is an instance of nonnegative quadratic programming ( NQP ) , just like the support vector machine ( SVM ) .","support vector machine (svm, nonnegative quadratic programming (nqp, nmf (non-negative matrix factorization","support vector machine, nmf, nonnegative quadratic programming, svm, nqp",1,0.0,ai,6
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","Although Nietzsche had previously announced at the end of On the Genealogy of Morality a new work with the title The Will to Power : Attempt at a Revaluation of All Values , he eventually seems to have abandoned this idea and instead used some of the draft passages to compose Twilight of the Idols and The Antichrist in 1888 .","the antichrist, the will to power, nietzsche, on the genealogy of morality, attempt at a revaluation of all values, twilight of the idols","nietzsche, on the genealogy of morality, the will to power : attempt at a revaluation of all values, twilight of the idols, the antichrist",1,0.7272727272727273,lit,7
"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","In Vancouver 's 2011 Vancouver municipal election , Anton was the Non-Partisan Association candidate for Mayor of Vancouver , eventually losing to incumbent Gregor Robertson of Vision Vancouver .","gregor robertson, vancouver, vision vancouver, non-partisan association, anton, 2011 vancouver municipal election","vancouver, vision vancouver, non-partisan association, vancouver, gregor robertson, 2011 vancouver municipal election",1,0.9090909090909092,pol,9
"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","During the early stages of World War II , the United Kingdom and France Allies of World War II made a series of proposals to send troops to assist Finland against the Soviet Union in the Winter War , which started on 30 November 1939 .","france, winter war, united kingdom, allies of world war ii, finland, world war ii, soviet union","winter war, soviet union, france allies, united kingdom, world war ii, world war ii",1,0.6666666666666666,pol,16
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","As a distinguished writer sympathizing with the cause of communism , he was invited to speak at Maxim Gorky ' s funeral and to tour the Soviet Union as a guest of the Soviet Union of Writers .","communism, soviet union, maxim gorky ' s funeral, soviet union of writers","soviet union, maxim gorky, soviet union of writers, distinguished writer, communism",2,0.6666666666666666,lit,17
"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","Michael Bloomberg , formerly a Democrat , was elected as a Republican in 2001 New York City mayoral election and 2005 New York City mayoral election , succeeding another Republican mayor , Rudy Giuliani , elected in 1993 and 1997 New York City mayoral election .","democrat, republican, republican, 2001 new york city mayoral election, 1993 and 1997 new york city mayoral election, 2005 new york city mayoral election, rudy giuliani, michael bloomberg","republican, democrat, michael bloomberg, 1993 new york city mayoral election, 1997 new york city mayoral election, rudy giuliani, 2005 new york city mayoral election, 2001 new york city mayoral election, new york city",2,0.75,pol,28
"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","In March 1987 , Western Goals UK had filed a complaint with the Charity Commission for England and Wales against three major British charities , Oxfam , War on Want , and Christian Aid claiming that they were involved in political campaigning work ( which was then contrary to UK charity law ) in support of left-wing organizations due to their campaigns against apartheid in South Africa .","war on want, apartheid, charity commission for england and wales, western goals uk, south africa, british, oxfam, christian aid","british, uk, christian aid, western goals uk, charity commission for england and wales, apartheid, war on want, south africa, oxfam",1,0.9411764705882352,pol,38
"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","Drawing influences from hip hop , dub , pop , Gorillaz released their self-titled debut album in 2001 to worldwide success , spawning successful follow-ups Demon Days ( 2005 ) , Plastic Beach , The Fall ( both released in 2010 ) , Humanz ( 2017 ) , and The Now Now ( 2018 ) .","pop, hip hop, plastic beach, demon days, dub, humanz, the now now, gorillaz, the fall","humanz, the now now, hip hop, dub, demon days, gorillaz, the fall, plastic beach, pop, self-titled debut album",2,0.9473684210526316,music,52
"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","A popular application for serial robots in today 's industry is the pick-and-place assembly robot , called a SCARA robot , which has four degrees of freedom .","assembly, scara robot","scara robot, pick-and-place assembly robot, serial robots",2,0.4,ai,60
"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","ABBA were soon recognised and embraced by other acts : Evan Dando of the Lemonheads recorded a cover version of Knowing Me , Knowing You ; Sinéad O 'Connor and Boyzone 's Stephen Gately have recorded Chiquitita ; Tanita Tikaram , Blancmange and Steven Wilson paid tribute to The Day Before You Came .","boyzone, stephen gately, tanita tikaram, sinéad o 'connor, chiquitita, evan dando, blancmange, the lemonheads, steven wilson, the day before you came, knowing me , knowing you, abba","boyzone, stephen gately, abba, knowing me, knowing you, evan dando, blancmange, chiquitita, the day before you came, sinéad o'connor, tanita tikaram, steven wilson, lemonheads",2,0.75,music,61
"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","The music of Honduras varies from Punta and Paranda ( the local genre of the Garifunas ) to Caribbean music such as Salsa music , Merengue music , reggae and reggaeton ( all widely heard , especially in the north ) .","honduras, merengue music, garifunas, punta, salsa music, reggaeton, reggae, caribbean music, paranda","reggae, garifunas, salsa music, reggaeton, caribbean, honduras, paranda, merengue music, punta",2,0.8888888888888888,music,63
"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","A Chamberland filter , also known as a Louis Pasteur -Chamberland filter , is a porcelain water filter invented by Charles Chamberland in 1884 .","porcelain water filter, louis pasteur-chamberland filter, chamberland filter, charles chamberland","porcelain water filter, charles chamberland, louis pasteur -chamberland filter, chamberland filter",1,0.75,science,64
"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","During this period he designed album sleeves and additional material for such acts as the Sutherland Brothers , Kevin Coyne , Edgar Broughton Band , Chilli Willi and the Red Hot Peppers , Quiver , the Kursaal Flyers and Michael Moorcock and the Deep Fix .","kevin coyne, chilli willi and the red hot peppers, quiver, edgar broughton band, michael moorcock and the deep fix, sutherland brothers, the kursaal flyers","sutherland brothers, kursaal flyers, quiver, edgar broughton band, deep fix, michael moorcock, chilli willi and the red hot peppers, kevin coyne",2,0.6666666666666666,music,67
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous",Havens was invited to perform at the 2008 Cannes Film Festival opening ceremony .,"havens, 2008 cannes film festival, opening ceremony","cannes film festival, havens",1,0.4,lit,69
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","Baron Cohen 's other work includes voicing King Julien XIII in the Madagascar film series ( 2005-2012 ) and appearing in films such as Talladega Nights : The Ballad of Ricky Bobby ( 2006 ) , Sweeney Todd : The Demon Barber of Fleet Street ( 2007 ) , Hugo ( 2011 ) , and Les Misérables ( 2012 ) .","madagascar film series, sweeney todd: the demon barber of fleet street, king julien xiii, talladega nights: the ballad of ricky bobby, les misérables, hugo, baron cohen","baron cohen, talladega nights : the ballad of ricky bobby, sweeney todd : the demon barber of fleet street, les misérables, madagascar, king julien xiii, hugo",1,0.5714285714285714,lit,70
"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","In practice , machine learning algorithms cope with that either by employing a convex approximation to the 0-1 loss function ( like hinge loss for Support vector machine ) , which is easier to optimize , or by imposing assumptions on the distribution mathP ( x , y ) / math ( and thus stop being agnostic learning algorithms to which the above result applies ) .","convex approximation, loss function, hinge loss, support vector machine, agnostic learning algorithms","hinge loss, agnostic learning algorithms, support vector machine, machine learning algorithms",2,0.6666666666666666,ai,85
"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","Continuing the example using the maximum likelihood estimator , the probability density function ( pdf ) of the noise for one sample mathw n / math is","probability density function (pdf, maximum likelihood estimator","probability density function, pdf, maximum likelihood estimator",1,0.4,ai,87
