defn,sentence,list1,list2,gptlist,f1,dataset,id
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","Chekhov has also influenced the work of Japanese playwrights including Shimizu Kunio , Yōji Sakate , and Ai Nagai .","japanese playwrights, yōji sakate, shimizu kunio, chekhov, ai nagai","yōji sakate, japanese, chekhov, shimizu kunio, ai nagai",1,0.8,lit,1
"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","NMF is an instance of nonnegative quadratic programming ( NQP ) , just like the support vector machine ( SVM ) .","support vector machine (svm, nonnegative quadratic programming (nqp, nmf (non-negative matrix factorization","support vector machine, nmf, nonnegative quadratic programming, svm, nqp",1,0.0,ai,6
"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","In May 2012 the Likeminded Group formed an alliance with the PML ( N ) in a bid to unite all Pakistan Muslim League factions under the leadership of Nawaz Sharif , with the aim of defeating the Pakistan Tehreek-e-Insaf and the ruling coalition of Pakistan Peoples Party and PML ( Q ) in the upcoming 2013 Pakistani general election .","pakistan muslim league, pakistan tehreek-e-insaf, nawaz sharif, pml, 2013 pakistani general election, pml, pakistan peoples party","pml (q, nawaz sharif, pml (n, 2013 pakistani general election, likeminded group, pakistan muslim league, pakistan peoples party, pakistan tehreek-e-insaf",2,0.7142857142857143,pol,14
"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location",", ( 2002 ) as the automatic metric for Machine translation ( MT ) evaluation , many other methods have been proposed to revise or improve it , such as TER , METEOR , Banerjee and Lavie , ( 2005 ) etc .","mt, machine translation, ter, lavie, meteor, banerjee","banerjee, machine translation (mt, lavie, meteor, ter",2,0.7272727272727273,ai,20
"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","This binding results in the activation of a signalling pathway which allows for the transcription factor NF-κB to enter the nucleus of the macrophage and initiate the transcription and eventual secretion of various cytokines such as Il-8 , Interleukin-1 family , and TNFα .","interleukin-1 family, nf-κb, il-8, tnfα","transcription factor nf-κb, macrophage, signalling pathway, interleukin-1 family, il-8, cytokines, tnfα",2,0.5454545454545454,science,21
"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","Most of the outer irregular moon s of Jupiter and Saturn also have retrograde orbits , as do some of Uranus ' s outer moons .","irregular moon, uranus, saturn, jupiter","jupiter, outer irregular moons, uranus, saturn, retrograde orbits",2,0.6666666666666666,science,23
"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","In 1857 , at the request of the Tokugawa Shogunate , a group of Dutch engineers began work on the Nagasaki Yotetsusho , a modern , Western-style foundry and shipyard near the Dutch settlement of Dejima , at Nagasaki .","dejima, tokugawa shogunate, dutch, dutch, nagasaki, nagasaki yotetsusho","nagasaki yotetsusho, dutch engineers, dejima, nagasaki, tokugawa shogunate",2,0.8,ai,24
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","The remainder were distributed off a ferry near Hong Kong , the ferry between Hainan Island and the Chinese mainland , a ferry in Vietnam , White 's Ferry on the Potomac River in Virginia on Father 's Day 2007 , and on author H. P. Lovecraft ' s grave in Providence , Rhode Island on December 17 , 2005 .","hong kong, h. p. lovecraft, father 's day, white 's ferry, providence, virginia, hainan island, chinese mainland, rhode island, potomac river, vietnam","chinese mainland, providence, h. p. lovecraft, virginia, hainan island, vietnam, white's ferry, rhode island, hong kong, potomac river",2,0.8571428571428571,lit,25
"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","Michael Bloomberg , formerly a Democrat , was elected as a Republican in 2001 New York City mayoral election and 2005 New York City mayoral election , succeeding another Republican mayor , Rudy Giuliani , elected in 1993 and 1997 New York City mayoral election .","democrat, republican, republican, 2001 new york city mayoral election, 1993 and 1997 new york city mayoral election, 2005 new york city mayoral election, rudy giuliani, michael bloomberg","republican, democrat, michael bloomberg, 1993 new york city mayoral election, 1997 new york city mayoral election, rudy giuliani, 2005 new york city mayoral election, 2001 new york city mayoral election, new york city",2,0.75,pol,28
"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","Time series are used in statistics , signal processing , pattern recognition , econometrics , mathematical finance , weather forecasting , earthquake prediction , electroencephalography , control engineering , astronomy , communications engineering , and largely in any domain of applied science and engineering which involves temporal measurements .","pattern recognition, statistics, earthquake prediction, control engineering, communications engineering, time series, econometrics, weather forecasting, signal processing, astronomy, mathematical finance, applied science, electroencephalography","econometrics, pattern recognition, signal processing, mathematical finance, weather forecasting, communications engineering, control engineering, statistics, earthquake prediction",2,0.8181818181818182,ai,33
