defn,sentence,list1,list2,gptlist,f1,dataset,id
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","Investigative journalist Michael Specter , in an article in The New Yorker on 25 August 2014 entitled Seeds of Doubt ,","michael specter, the new yorker, seeds of doubt","michael specter, seeds of doubt, the new yorker, investigative journalist",2,0.8571428571428571,lit,2
"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","( February 20 , 1912 - August 11 , 2011 ) was an American inventor , best known for creating Unimate , the first industrial robot .","american, unimate",unimate,2,0.6666666666666666,ai,4
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","Poet and lead singer of King Missile , John S. Hall has also long been a vocal opponent , taking issue with such factors as its inherently competitive nature In his 2005 interview in Words In Your Face : A Guided Tour Through Twenty Years of the New York City Poetry Slam , he recalls seeing his first slam , at the Nuyorican Poets Café : ... I hated it .","words in your face : a guided tour through twenty years of the new york city poetry slam, nuyorican poets café, king missile, john s. hall","nuyorican poets café, john s. hall, king missile, new york city poetry slam, words in your face: a guided tour through twenty years of the new york city poetry slam",2,0.6666666666666666,lit,5
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","Although Nietzsche had previously announced at the end of On the Genealogy of Morality a new work with the title The Will to Power : Attempt at a Revaluation of All Values , he eventually seems to have abandoned this idea and instead used some of the draft passages to compose Twilight of the Idols and The Antichrist in 1888 .","the antichrist, the will to power, nietzsche, on the genealogy of morality, attempt at a revaluation of all values, twilight of the idols","nietzsche, on the genealogy of morality, the will to power : attempt at a revaluation of all values, twilight of the idols, the antichrist",1,0.7272727272727273,lit,7
"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","In Vancouver 's 2011 Vancouver municipal election , Anton was the Non-Partisan Association candidate for Mayor of Vancouver , eventually losing to incumbent Gregor Robertson of Vision Vancouver .","gregor robertson, vancouver, vision vancouver, non-partisan association, anton, 2011 vancouver municipal election","vancouver, vision vancouver, non-partisan association, vancouver, gregor robertson, 2011 vancouver municipal election",1,0.9090909090909092,pol,9
"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","These included depictions of local Civil Defence during World War II including St. John Ambulance , the British Red Cross and the fire services along with air raid wardens , police officers , the Home Guard and the Royal Voluntary Service .","royal voluntary service, st. john ambulance, world war ii, home guard, british red cross, local civil defence","british red cross, home guard, police officers, fire services, air raid wardens, st. john ambulance, royal voluntary service, civil defence, world war ii",2,0.6666666666666666,music,13
"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","142 He returned to the stage on 8 September 2005 , appearing with Arcade Fire for the US nationally televised event Fashion Rocks , and performed with the Canadian band for the second time a week later during the CMJ Music Marathon . Thompson ( 2006 ) : pp. 291-92 He contributed backing vocals on TV on the Radio ' s song Province for their album Return to Cookie Mountain ,","arcade fire, fashion rocks, province, us, return to cookie mountain, thompson, canadian, cmj music marathon, tv on the radio","us, fashion rocks, return to cookie mountain, province, cmj music marathon, tv on the radio, arcade fire",2,0.875,music,15
"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","During the early stages of World War II , the United Kingdom and France Allies of World War II made a series of proposals to send troops to assist Finland against the Soviet Union in the Winter War , which started on 30 November 1939 .","france, winter war, united kingdom, allies of world war ii, finland, world war ii, soviet union","winter war, soviet union, france allies, united kingdom, world war ii, world war ii",1,0.6666666666666666,pol,16
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","As a distinguished writer sympathizing with the cause of communism , he was invited to speak at Maxim Gorky ' s funeral and to tour the Soviet Union as a guest of the Soviet Union of Writers .","communism, soviet union, maxim gorky ' s funeral, soviet union of writers","soviet union, maxim gorky, soviet union of writers, distinguished writer, communism",2,0.6666666666666666,lit,17
"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location",", ( 2002 ) as the automatic metric for Machine translation ( MT ) evaluation , many other methods have been proposed to revise or improve it , such as TER , METEOR , Banerjee and Lavie , ( 2005 ) etc .","mt, machine translation, ter, lavie, meteor, banerjee","banerjee, machine translation (mt, lavie, meteor, ter",2,0.7272727272727273,ai,20
"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","This binding results in the activation of a signalling pathway which allows for the transcription factor NF-κB to enter the nucleus of the macrophage and initiate the transcription and eventual secretion of various cytokines such as Il-8 , Interleukin-1 family , and TNFα .","interleukin-1 family, nf-κb, il-8, tnfα","transcription factor nf-κb, macrophage, signalling pathway, interleukin-1 family, il-8, cytokines, tnfα",2,0.5454545454545454,science,21
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","William F. Buckley , Jr and other contributors for the National Review magazine .","william f. buckley jr, national review magazine","william f. buckley , jr, national review",1,0.0,lit,31
"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","He attended the U.S. Air Force Institute of Technology for a year , earning a bachelor 's degree in aeromechanics , and received his test pilot training at Edwards Air Force Base in California before his assignment as a test pilot at Wright-Patterson Air Force Base in Ohio .","u.s. air force institute of technology, edwards air force base, ohio, wright-patterson air force base, california, aeromechanics","test pilot, california, u.s. air force institute of technology, wright-patterson air force base, edwards air force base, ohio, aeromechanics",2,0.9230769230769232,science,43
